City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,punta del este,-34.9667,-54.95,17.06,82,100,10.73,UY,1683559762
142,huadian,42.9633,126.7478,8.02,29,1,1.8,CN,1683559763
143,alcains,39.9164,-7.4566,28.64,35,100,6.45,PT,1683559763
144,fort mcmurray,56.7268,-111.381,14.77,47,0,4.12,CA,1683559761
145,mabaruma,8.2,-59.7833,26.0,94,75,0.0,GY,1683559763
146,metlili chaamba,32.2667,3.6333,28.52,17,0,10.29,DZ,1683559763
147,georgetown,5.4112,100.3354,29.97,84,20,1.54,MY,1683559353
148,ampanihy,-24.7,44.75,26.03,43,4,2.95,MG,1683559764
149,raduzhny,62.0961,77.475,2.93,59,66,9.64,RU,1683559764
150,bereznik,62.8551,42.7072,9.55,51,100,3.4,RU,1683559764
151,hastings,50.8552,0.5729,14.99,31,100,5.93,GB,1683559765
152,tabou,4.423,-7.3528,29.93,67,92,3.1,CI,1683559765
153,albina,5.5,-54.05,24.29,98,100,1.11,SR,1683559765
154,luderitz,-26.6481,15.1594,19.55,60,0,8.86,NA,1683559765
155,portland,45.5234,-122.6762,11.73,81,75,2.24,US,1683559150
156,nguigmi,14.2495,13.1092,34.73,16,100,2.89,NE,1683559766
157,pachino,36.7186,15.0907,18.06,70,100,1.07,IT,1683559766
158,san,13.3034,-4.8956,36.25,29,100,4.53,ML,1683559766
159,karditsa,39.3656,21.9217,22.77,52,70,0.81,GR,1683559766
160,mejit,10.2753,170.8646,27.49,81,100,6.69,MH,1683559767
161,bathsheba,13.2167,-59.5167,30.34,74,40,6.69,BB,1683559767
162,posto fiscal rolim de moura,-13.0833,-62.2667,24.28,96,100,1.31,BR,1683559767
163,ayacucho,-13.1583,-74.2239,13.92,72,75,1.54,PE,1683559767
164,nadi,-17.8,177.4167,22.0,94,20,1.54,FJ,1683559767
165,thinadhoo,0.5333,72.9333,28.38,75,98,5.65,MV,1683559768
166,dar chioukh,34.8964,3.4854,20.64,30,4,12.25,DZ,1683559768
167,kapa'a,22.0752,-159.319,23.18,74,75,5.66,US,1683559768
168,kerikeri,-35.2268,173.9474,19.39,95,100,2.24,NZ,1683559768
169,roses,42.262,3.1769,26.01,40,89,6.71,ES,1683559768
170,hermanus,-34.4187,19.2345,18.22,81,100,2.57,ZA,1683559769
171,peace river,56.2501,-117.286,6.17,100,100,2.06,CA,1683559769
